isTs	is1stLast	prevCol	del.t	condName
FALSE	e	NA	NA	GSM5604050
FALSE	e	NA	NA	GSM5604051
FALSE	e	NA	NA	GSM5604052
FALSE	e	NA	NA	GSM5604053
FALSE	e	NA	NA	GSM5604054
FALSE	e	NA	NA	GSM5604055
FALSE	e	NA	NA	GSM5604056
FALSE	e	NA	NA	GSM5604057
FALSE	e	NA	NA	GSM5604058
FALSE	e	NA	NA	GSM5604059
FALSE	e	NA	NA	GSM5604060
FALSE	e	NA	NA	GSM5604061
FALSE	e	NA	NA	GSM5604062
FALSE	e	NA	NA	GSM5604063
FALSE	e	NA	NA	GSM5604064
FALSE	e	NA	NA	GSM5604065
FALSE	e	NA	NA	GSM5604066
FALSE	e	NA	NA	GSM5604067
FALSE	e	NA	NA	GSM5604068
FALSE	e	NA	NA	GSM5604069
FALSE	e	NA	NA	GSM5604070
FALSE	e	NA	NA	GSM5604071
FALSE	e	NA	NA	GSM5604072
FALSE	e	NA	NA	GSM5604073
FALSE	e	NA	NA	GSM5604074
FALSE	e	NA	NA	GSM5604075
FALSE	e	NA	NA	GSM5604076
FALSE	e	NA	NA	GSM5604077
FALSE	e	NA	NA	GSM5604078
FALSE	e	NA	NA	GSM5604079
FALSE	e	NA	NA	GSM5604080
FALSE	e	NA	NA	GSM5604081
FALSE	e	NA	NA	GSM5604082
FALSE	e	NA	NA	GSM5604083
FALSE	e	NA	NA	GSM5604084
FALSE	e	NA	NA	GSM5604085
FALSE	e	NA	NA	GSM5604086
FALSE	e	NA	NA	GSM5604087
FALSE	e	NA	NA	GSM5604088
FALSE	e	NA	NA	GSM5604089
FALSE	e	NA	NA	GSM5604090
FALSE	e	NA	NA	GSM5604091
FALSE	e	NA	NA	GSM5604092
FALSE	e	NA	NA	GSM5604093
FALSE	e	NA	NA	GSM5604094
FALSE	e	NA	NA	GSM5604095
FALSE	e	NA	NA	GSM5604096
FALSE	e	NA	NA	GSM5604097
FALSE	e	NA	NA	GSM5604098
FALSE	e	NA	NA	GSM5604099
FALSE	e	NA	NA	GSM5604100
FALSE	e	NA	NA	GSM5604101
FALSE	e	NA	NA	GSM5604102
FALSE	e	NA	NA	GSM5604103
FALSE	e	NA	NA	GSM5604104
FALSE	e	NA	NA	GSM5604105
FALSE	e	NA	NA	GSM5604106
FALSE	e	NA	NA	GSM5604107
FALSE	e	NA	NA	GSM5604108
FALSE	e	NA	NA	GSM5604109
FALSE	e	NA	NA	GSM5604110
FALSE	e	NA	NA	GSM5604111
FALSE	e	NA	NA	GSM5604112
FALSE	e	NA	NA	GSM5604113
FALSE	e	NA	NA	GSM5604114
FALSE	e	NA	NA	GSM5604115
FALSE	e	NA	NA	GSM5604116
FALSE	e	NA	NA	GSM5604117
FALSE	e	NA	NA	GSM5604118
FALSE	e	NA	NA	GSM5604119
FALSE	e	NA	NA	GSM5604120
FALSE	e	NA	NA	GSM5604121
FALSE	e	NA	NA	GSM5604122
FALSE	e	NA	NA	GSM5604123
FALSE	e	NA	NA	GSM5604124
FALSE	e	NA	NA	GSM5604125
FALSE	e	NA	NA	GSM5604126
FALSE	e	NA	NA	GSM5604127
FALSE	e	NA	NA	GSM5604128
FALSE	e	NA	NA	GSM5604129
FALSE	e	NA	NA	GSM5604130
FALSE	e	NA	NA	GSM5604131
FALSE	e	NA	NA	GSM5604132
FALSE	e	NA	NA	GSM5604133
FALSE	e	NA	NA	GSM5604134
FALSE	e	NA	NA	GSM5604135
FALSE	e	NA	NA	GSM5604136
FALSE	e	NA	NA	GSM5604137
FALSE	e	NA	NA	GSM5604138
FALSE	e	NA	NA	GSM5604139
FALSE	e	NA	NA	GSM5604140
FALSE	e	NA	NA	GSM5604141
FALSE	e	NA	NA	GSM5604142
